Type,ID,Label,NACE,Country,starting date,ending date
Targeted companies (startups),"EXAGO VENTURES, S.A.","EXAGO VENTURES, S.A.","M - Professional, scientific and technical activities",PT,2007,
Targeted companies (startups),"EPEDAL, SGPS S.A.","EPEDAL, SGPS S.A.",K - Financial and insurance activities,PT,2007,
Targeted companies (startups),"ENEIDA, WIRELESS & SENSORS, S.A.","ENEIDA, WIRELESS & SENSORS, S.A.",C - Manufacturing,PT,2012,
Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.","FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",J - Information and communication,PT,2008,
Targeted companies (startups),"FASTINOV, S.A.","FASTINOV, S.A.","M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.","FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",J - Information and communication,PT,2013,
Targeted companies (startups),Farfetch UK Limited,Farfetch UK Limited,Foreign Company,UK,2008,
Targeted companies (startups),"EXOGENUS THERAPEUTICS, S.A.","EXOGENUS THERAPEUTICS, S.A.","M - Professional, scientific and technical activities",PT,2015,
Targeted companies (startups),"DOCTORGUMMY, LDA","DOCTORGUMMY, LDA","M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"DISPLAX, S.A.","DISPLAX, S.A.",J - Information and communication,PT,2005,
Targeted companies (startups),D­ORBIT S.R.L.,D­ORBIT S.R.L.,"M - Professional, scientific and technical activities",IT,2011,
Targeted companies (startups),"D-ORBIT PT, LDA","D-ORBIT PT, LDA","M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),Current,Current,Foreign Company,USA,1999,
Targeted companies (startups),"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.","EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",F - Construction,PT,2009,
Targeted companies (startups),"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA","ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2014,
Targeted companies (startups),"ECOFOOT, S.A.","ECOFOOT, S.A.",C - Manufacturing,PT,2012,
Targeted companies (startups),E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,N - Administrative and support service activities,PT,2006,
Targeted companies (startups),"DTV RESEARCH, UNIPESSOAL LDA","DTV RESEARCH, UNIPESSOAL LDA",J - Information and communication,PT,2012,
Targeted companies (startups),"DOMATICA ­ GLOBAL SOLUTIONS, S.A.","DOMATICA ­ GLOBAL SOLUTIONS, S.A.",J - Information and communication,PT,2005,
Targeted companies (startups),"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO","GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2013,2016
Targeted companies (startups),"GRAPHENEST, S.A.","GRAPHENEST, S.A.",C - Manufacturing,PT,2015,
Targeted companies (startups),"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.","GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",K - Financial and insurance activities,PT,2005,
Targeted companies (startups),"GLOBAL INPAKT, S.A.","GLOBAL INPAKT, S.A.",J - Information and communication,PT,2013,2015
Targeted companies (startups),"GO BIZ, VIAGENS E TURISMO, S.A.","GO BIZ, VIAGENS E TURISMO, S.A.",N - Administrative and support service activities,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Union Square Ventures,Union Square Ventures,K - Financial and insurance activities,USA,2004,
Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.","HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.","M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.","HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",L - Real estate activities,PT,2006,
Targeted companies (startups),"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.","IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",C - Manufacturing,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Octopus Ventures,Octopus Ventures,K - Financial and insurance activities,UK,1999,
Targeted companies (startups),"GREENFIBER TECH, S.A.","GREENFIBER TECH, S.A.",C - Manufacturing,PT,2011,
Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.","GUESTCENTRIC SYSTEMS, S.A.",J - Information and communication,PT,2006,
Limited Partners (LPs)/SCR´s - Outside PT,Atomico,Atomico,K - Financial and insurance activities,UK,2006,
Limited Partners (LPs)/SCR´s - Outside PT,True Ventures,True Ventures,K - Financial and insurance activities,USA,2006,
Targeted companies (startups),"GUM CHEMICAL SOLUTIONS, S.A.","GUM CHEMICAL SOLUTIONS, S.A.",C - Manufacturing,PT,2013,
Targeted companies (startups),"FOLLOWPRICE, S.A.","FOLLOWPRICE, S.A.",J - Information and communication,PT,2015,
Targeted companies (startups),"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.","FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2012,
Targeted companies (startups),FÓRMULA DA AVÓ - LDA,FÓRMULA DA AVÓ - LDA,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"FLUIDINOVA, S.A.","FLUIDINOVA, S.A.","M - Professional, scientific and technical activities",PT,2005,
Targeted companies (startups),"FEEDZAI, INC.","FEEDZAI, INC.",J - Information and communication,USA,2012,
Targeted companies (startups),"FOLLOW INSPIRATION, S.A.","FOLLOW INSPIRATION, S.A.",J - Information and communication,PT,2012,
Targeted companies (startups),"GETSOCIAL, S.A.","GETSOCIAL, S.A.",J - Information and communication,PT,2013,
Targeted companies (startups),GENIBET BIOPHARMACEUTICALS S.A.,GENIBET BIOPHARMACEUTICALS S.A.,C - Manufacturing,PT,2006,
Targeted companies (startups),"GLEAM, S.A.","GLEAM, S.A.",J - Information and communication,PT,2013,
Targeted companies (startups),"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.","FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.","M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),GENE PREDIT S.A.,GENE PREDIT S.A.,"M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),"BIOMIMETX,S.A.","BIOMIMETX,S.A.","M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.","BIOMODE - BIOMOLECULAR DETERMINATION, S.A.","M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),"BICA STUDIOS, S.A.","BICA STUDIOS, S.A.",J - Information and communication,PT,2013,
Targeted companies (startups),BIOSURFIT S.A.,BIOSURFIT S.A.,"M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),"BIOMODE 2, S.A.","BIOMODE 2, S.A.","M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"BLOOMERS, S.A.","BLOOMERS, S.A.",C - Manufacturing,PT,2013,
Targeted companies (startups),BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,"M - Professional, scientific and technical activities",PT,2005,
Targeted companies (startups),BitSight Technologies,BitSight Technologies,Foreign Company,USA,2011,
Targeted companies (startups),"BRIGHT INNOVATION, LDA","BRIGHT INNOVATION, LDA",N - Administrative and support service activities,PT,2012,
Targeted companies (startups),"BRIGHTWIZARD, S.A","BRIGHTWIZARD, S.A",J - Information and communication,PT,2013,
Targeted companies (startups),"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.","BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",J - Information and communication,PT,2011,
Targeted companies (startups),"ASINUS ATLANTICUS, S.A.","ASINUS ATLANTICUS, S.A.",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2012,
Targeted companies (startups),AquaSpy,AquaSpy,Foreign Company,USA,1998,
Targeted companies (startups),"APTOIDE, S.A.","APTOIDE, S.A.",J - Information and communication,PT,2011,
Targeted companies (startups),"AUGRPUBLISHER, S.A","AUGRPUBLISHER, S.A",J - Information and communication,PT,2014,
Targeted companies (startups),Atraverda,Atraverda,Foreign Company,UK,2005,
Targeted companies (startups),"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA","ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",F - Construction,PT,2010,
Targeted companies (startups),BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,C - Manufacturing,PT,2010,
Targeted companies (startups),"BABYBOOK, S.A.","BABYBOOK, S.A.",J - Information and communication,PT,2011,
Targeted companies (startups),"BGUESTNOW, S.A.","BGUESTNOW, S.A.",J - Information and communication,PT,2014,
Targeted companies (startups),"BEYONDEVICES, S.A.","BEYONDEVICES, S.A.",C - Manufacturing,PT,2012,
Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.","BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.","M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),Code Place (Songvice B.V.),Code Place (Songvice B.V.),Foreign Company,NL,2014,
Targeted companies (startups),"COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.","COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.",J - Information and communication,PT,2006,
Targeted companies (startups),"CONVERDE, S.A.","CONVERDE, S.A.",C - Manufacturing,PT,2011,
Targeted companies (startups),"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.","COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",C - Manufacturing,PT,2006,
Targeted companies (startups),"CORTEX INTELLIGENCE TECNOLOGIA, LDA","CORTEX INTELLIGENCE TECNOLOGIA, LDA",J - Information and communication,PT,2011,
Targeted companies (startups),CRITICAL LINKS S.A.,CRITICAL LINKS S.A.,J - Information and communication,PT,2006,
Targeted companies (startups),"CRITICAL MANUFACTURING, S.A.","CRITICAL MANUFACTURING, S.A.",J - Information and communication,PT,2009,
Targeted companies (startups),"CRITICAL MATERIALS, S.A.","CRITICAL MATERIALS, S.A.",J - Information and communication,PT,2008,
Targeted companies (startups),"CRIVO INVESTIGAÇÃO APLICADA, S.A.","CRIVO INVESTIGAÇÃO APLICADA, S.A.","M - Professional, scientific and technical activities",PT,2007,
Targeted companies (startups),"CSIDE - SOLUÇÕES INTELIGENTES, S.A.","CSIDE - SOLUÇÕES INTELIGENTES, S.A.",J - Information and communication,PT,2008,
Targeted companies (startups),"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.","CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",C - Manufacturing,PT,2014,
Targeted companies (startups),BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,J - Information and communication,PT,2006,
Targeted companies (startups),"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.","BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",K - Financial and insurance activities,PT,2011,
Targeted companies (startups),"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.","CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",J - Information and communication,PT,2011,
Targeted companies (startups),"BYCLOSURE, S.A.","BYCLOSURE, S.A.",J - Information and communication,PT,2008,
Targeted companies (startups),"CBRA GENOMICS, S.A.","CBRA GENOMICS, S.A.","M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.","CELL2B - ADVANCED THERAPEUTICS, S.A.","M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"CHANGING EXPERIENCE, S.A.","CHANGING EXPERIENCE, S.A.",J - Information and communication,PT,2009,
Targeted companies (startups),"CEV, S.A.","CEV, S.A.",C - Manufacturing,PT,2006,
Targeted companies (startups),"CHIC BY CHOICE, S.A.","CHIC BY CHOICE, S.A.",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2014,
Targeted companies (startups),"CITY PULSE, LDA","CITY PULSE, LDA",J - Information and communication,PT,2014,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,FCR Portugal Ventures Indústrias Criativas,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Global 2,FCR Portugal Ventures Global 2,K - Financial and insurance activities,PT,2015,
Venture Capital Funds,FCR Portugal Ventures Finicia,FCR Portugal Ventures Finicia,K - Financial and insurance activities,PT,2007,
Venture Capital Funds,FCR Portugal Global Ventures,FCR Portugal Global Ventures,K - Financial and insurance activities,PT,2005,2013
Venture Capital Funds,FCR Novabase Capital,FCR Novabase Capital,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR InovCapital,FCR InovCapital,K - Financial and insurance activities,PT,2003,
Venture Capital Funds,FCR Change Partners I,FCR Change Partners I,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,FCR F-HITEC,FCR F-HITEC,K - Financial and insurance activities,PT,2008,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),K - Financial and insurance activities,PT,2003,
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),K - Financial and insurance activities,PT,2003,2014
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,FCR Portugal Ventures Turismo Inovação,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Beta Ciências da Vida,FCR Beta Ciências da Vida,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ISTART I,FCR ISTART I,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR PME / Novo Banco,FCR PME / Novo Banco,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR Fast Change,FCR Fast Change,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR Revitalizar Centro,FCR Revitalizar Centro,K - Financial and insurance activities,PT,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,FCR Portugal Ventures ACTEC II,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Biocant,FCR Portugal Ventures Biocant,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,FCR Novabase Inovação e Internacionalização,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Critical Ventures I,FCR Critical Ventures I,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Valor,FCR Portugal Ventures Valor,K - Financial and insurance activities,PT,1994,2004
Targeted companies (startups),"ALTURA PUBLISHING, S.A.","ALTURA PUBLISHING, S.A.",J - Information and communication,PT,2012,
Targeted companies (startups),"AMANHÃ GLOBAL, S.A.","AMANHÃ GLOBAL, S.A.",J - Information and communication,PT,2013,
Targeted companies (startups),"ALLIS UBBO INFORMATION SYSTEMS, LDA","ALLIS UBBO INFORMATION SYSTEMS, LDA",J - Information and communication,PT,2010,
Targeted companies (startups),"FABER VENTURES, S.A.","FABER VENTURES, S.A.",J - Information and communication,PT,2012,
Targeted companies (startups),"ALTAKITIN, S.A.","ALTAKITIN, S.A.","M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),ALFAMA INC.,ALFAMA INC.,Foreign Company,USA,2005,2014
Targeted companies (startups),"ADVANCED CYCLONE SYSTEMS, S.A.","ADVANCED CYCLONE SYSTEMS, S.A.",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2008,
Targeted companies (startups),ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"ADDVOLT, S.A.","ADDVOLT, S.A.","M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"ADFAMILIES PUBLICIDADE, S.A.","ADFAMILIES PUBLICIDADE, S.A.","M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"5ENSESINFOOD, S.A.","5ENSESINFOOD, S.A.",C - Manufacturing,PT,2012,
Targeted companies (startups),A123Systems,A123Systems,Foreign Company,USA,2001,
Targeted companies (startups),"ABYSSAL, S.A.","ABYSSAL, S.A.",J - Information and communication,PT,2012,
Venture Capital Funds,FCR FAI Energias,FCR FAI Energias,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures,Fundo de Capital de Risco Portugal Ventures,K - Financial and insurance activities,PT,1993,2014
Venture Capital Funds,Oxy Capital Fundo Mezzanine,Oxy Capital Fundo Mezzanine,K - Financial and insurance activities,PT,2014,
Venture Capital Funds,FCR Portugal Ventures,FCR Portugal Ventures,K - Financial and insurance activities,PT,1999,2014
Venture Capital Funds,FCR Revitalizar Norte,FCR Revitalizar Norte,K - Financial and insurance activities,PT,2013,
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos­ TIEC,K - Financial and insurance activities,PT,2002,
Venture Capital Funds,FCR ESV III,FCR ESV III,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Fast Change II,FCR Fast Change II,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,Fundo de Capital de Risco Portugal Ventures Global 2,K - Financial and insurance activities,PT,1999,
Venture Capital Funds,FCR Empreender Mais,FCR Empreender Mais,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Caixa Tech Transfer Accelerator Ventures,FCR Caixa Tech Transfer Accelerator Ventures,K - Financial and insurance activities,PT,2015,
Venture Capital Funds,FCR Beta Early Stages,FCR Beta Early Stages,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME ­IAPMEI,Fundo de Sindicação de Capital de Risco PME ­IAPMEI,K - Financial and insurance activities,PT,2003,
Venture Capital Funds,FCR Capital Criativo I,FCR Capital Criativo I,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ESV Inovação & Internacionalização,FCR ESV Inovação & Internacionalização,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,Fundo de Capital de Risco AICEP Capital Global III,Fundo de Capital de Risco AICEP Capital Global III,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,Fundo de Capital de Risco Dinamização Turística,K - Financial and insurance activities,PT,2009,
Venture Capital Funds,FCR Portugal Ventures Early Stages,FCR Portugal Ventures Early Stages,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,FCR Portugal Ventures Internacionalização,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Universitas,FCR Portugal Ventures Universitas,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ESV II,FCR ESV II,K - Financial and insurance activities,PT,2006,
Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ASK Celta,FCR ASK Celta,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR PV ACTEC,FCR PV ACTEC,K - Financial and insurance activities,PT,2006,2014
Venture Capital Funds,FCR Minho Inovação e Internacionalização,FCR Minho Inovação e Internacionalização,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Valor 2,Fundo de Capital de Risco Portugal Ventures Valor 2,K - Financial and insurance activities,PT,1999,
Venture Capital Funds,FCR ASK Capital,FCR ASK Capital,K - Financial and insurance activities,PT,2011,
SPV´s,"SharkAB ­ Consultores, Lda","SharkAB ­ Consultores, Lda","M - Professional, scientific and technical activities",PT,2012,
SPV´s,Magnum Capital Partners,Magnum Capital Partners,K - Financial and insurance activities,PT,2012,
SPV´s,"Busy Angels, SGPS","Busy Angels, SGPS",K - Financial and insurance activities,PT,2008,
SPV´s,"Gegnum ­Gestão e Investimentod, lda","Gegnum ­Gestão e Investimentod, lda","M - Professional, scientific and technical activities",PT,2008,
SPV´s,"Intercapital ­Investimento e Gestão de Activos, S.A.","Intercapital ­Investimento e Gestão de Activos, S.A.",K - Financial and insurance activities,PT,2012,
SPV´s,"Binteractive, Lda","Binteractive, Lda",J - Information and communication,PT,2010,
SPV´s,"Faber Investments,SGPS","Faber Investments,SGPS",K - Financial and insurance activities,PT,2013,
SPV´s,BrainInvest,BrainInvest,"M - Professional, scientific and technical activities",PT,2010,
SPV´s,"IA - FCI Ciências da Vida SGPS, SA","IA - FCI Ciências da Vida SGPS, SA",K - Financial and insurance activities,PT,2011,
Targeted companies (startups),"ZUVI NOVA, S.A.","ZUVI NOVA, S.A.",J - Information and communication,PT,2009,
SPV´s,"Tagus Innovation for Growth SGPS, SA","Tagus Innovation for Growth SGPS, SA",K - Financial and insurance activities,PT,2010,
SPV´s,"TEX Risco, SGPS, SA","TEX Risco, SGPS, SA",K - Financial and insurance activities,PT,2010,
SPV´s,"A2B, SGPS","A2B, SGPS",K - Financial and insurance activities,PT,2010,
SPV´s,"Capital Disperso, LDA","Capital Disperso, LDA",K - Financial and insurance activities,PT,2015,
SPV´s,Vallis Sustainable Investments I,Vallis Sustainable Investments I,K - Financial and insurance activities,PT,2011,
SPV´s,Critical SGPS (holding),Critical SGPS (holding),K - Financial and insurance activities,PT,2007,
SPV´s,"Fast Sharks Invest, LDA","Fast Sharks Invest, LDA","M - Professional, scientific and technical activities",PT,2015,
